sensor_id,hour,date,hourly_avg
0a,2,2020-04-24,6.045
0a,2,2020-04-25,6.625
0a,2,2020-04-26,5.59375
0a,2,2020-04-27,6.63125
0a,2,2020-04-28,6.625
0a,2,2020-04-29,6.5625
0a,2,2020-04-30,5.725
0a,2,2020-05-01,4.375
0a,2,2020-05-02,5.8
0a,2,2020-05-03,8.316666666666666
0a,2,2020-05-04,5.233333333333333
0a,2,2020-05-05,11.3
0a,2,2020-05-06,5.55
0a,2,2020-05-07,4.95
0a,2,2020-05-08,5.95
0a,2,2020-05-09,5.7125
0a,2,2020-05-10,4.8875
0a,2,2020-05-11,5.6875
0a,2,2020-05-12,5.5625
0a,2,2020-05-13,5.21
0a,2,2020-05-14,15.975
0a,2,2020-05-15,14.305
0a,2,2020-05-16,20.330000000000002
0a,2,2020-05-17,20.27
0a,2,2020-05-18,22.32941176470588
0a,2,2020-05-19,9.42
0a,2,2020-05-20,4.77
0a,2,2020-05-21,4.805
0a,2,2020-05-22,6.4350000000000005
0a,2,2020-05-23,5.7
0a,2,2020-05-24,5.325
0a,2,2020-05-25,6.18
0a,2,2020-05-26,15.18
0a,2,2020-05-27,10.47
0a,2,2020-05-28,7.12
0a,2,2020-05-29,12.55
0a,2,2020-05-30,7.5
0a,2,2020-05-31,4.805
0a,2,2020-06-01,5.155
0a,2,2020-06-02,5.647058823529412
0a,2,2020-06-03,7.8
0a,2,2020-06-04,5.695
0a,2,2020-06-05,14.875
0a,2,2020-06-06,16.11875
0a,2,2020-06-07,6.6625
0a,2,2020-06-08,10.7625
0a,2,2020-06-09,21.1875
0a,2,2020-06-10,17.0125
0a,2,2020-06-11,13.0625
0a,2,2020-06-12,20.8
0a,2,2020-06-13,12.55625
0a,2,2020-06-14,5.05
0a,2,2020-06-15,4.525
0a,2,2020-06-16,5.66875
0a,2,2020-06-17,8.15
0a,2,2020-06-18,12.15
0a,2,2020-06-19,7.647058823529412
0a,2,2020-06-20,6.005
0a,2,2020-06-21,21.245
0a,2,2020-06-22,9.8
0a,2,2020-06-23,10.525
0a,2,2020-06-24,8.915
0a,2,2020-06-25,14.305
0a,2,2020-06-26,6.16
0a,2,2020-06-27,8.465
0a,2,2020-06-28,25.64
0a,2,2020-06-29,25.315
0a,2,2020-06-30,11.764285714285714
0a,2,2020-07-01,7.475
0a,2,2020-07-02,4.359999999999999
0a,2,2020-07-03,5.205
0a,2,2020-07-04,5.405
0a,2,2020-07-05,5.1850000000000005
0a,2,2020-07-06,6.685
0a,2,2020-07-07,7.635
0a,2,2020-07-08,13.395
0a,2,2020-07-09,16.605
0a,2,2020-07-10,12.68
0a,2,2020-07-11,12.620000000000001
0a,2,2020-07-12,31.565
0a,2,2020-07-13,6.04
0a,2,2020-07-14,5.5600000000000005
0a,2,2020-07-15,7.92
0a,2,2020-07-16,13.4
0a,2,2020-07-17,11.43
0a,2,2020-07-18,8.754999999999999
0a,2,2020-07-19,4.68
0a,2,2020-07-20,5.385
0a,2,2020-07-21,6.32
0a,2,2020-07-22,7.09
0a,2,2020-07-23,5.23
0a,2,2020-07-24,13.405
0a,2,2020-07-25,19.315
0a,2,2020-07-26,26.98
0a,2,2020-07-27,18.315
0a,2,2020-07-28,6.195
0a,2,2020-07-29,7.725
0a,2,2020-07-30,7.105
0a,2,2020-07-31,17.13
0a,2,2020-08-01,7.58
0a,2,2020-08-02,6.27
0a,2,2020-08-03,6.945
0a,2,2020-08-04,5.065
0a,2,2020-08-05,5.415
0a,2,2020-08-06,4.89
0a,2,2020-08-07,7.5600000000000005
0a,2,2020-08-08,4.715
0a,2,2020-08-09,5.485
0a,2,2020-08-10,6.715
0a,2,2020-08-11,16.35
0a,2,2020-08-12,5.17
0a,2,2020-08-13,7.3149999999999995
0a,2,2020-08-14,5.815
0a,2,2020-08-15,14.385714285714286
0a,2,2020-08-16,11.805
0a,2,2020-08-17,4.97
0a,2,2020-08-18,4.935
